#外枠

0 0 0 5000
0 0 5000 0
0 5000 5000 0
5000 0 0 5000

#仕切り板

2483.5 0 0 5000
2494.5 0 0 5000
2505.5 0 0 5000
2516.5 0 0 5000

1000 3500 3000 0
1000 3489 3000 0
1000 3478 3000 0
1000 3467 3000 0
1000 3467 0 33
4000 3467 0 33

0 2500 1483.5 0
0 2489 1483.5 0
0 2478 1483.5 0
0 2467 1483.5 0
1483.5 2467 0 33

3516.5 2500 1483.5 0
3516.5 2489 1483.5 0
3516.5 2478 1483.5 0
3516.5 2467 1483.5 0
3516.5 2467 0 33

1000 1500 3000 0
1000 1489 3000 0
1000 1478 3000 0
1000 1467 3000 0
1000 1467 0 33
4000 1467 0 33

#ライン

30 30 0 4940
30 30 4940 0
30 4970 4940 0
4970 30 0 4940

0 3500 5000 0
0 3470 5000 0

0 2500 5000 0
0 2470 5000 0

0 1500 5000 0
0 1470 5000 0

0 3500 0 700
0 3500 700 0
0 4200 700 0
700 3500 0 700
30 3530 0 640
30 3530 640 0
30 4170 640 0
670 3530 0 640

4300 3500 0 700
4300 3500 700 0
4300 4200 700 0
5000 3500 0 700
4330 3530 0 640
4330 3530 640 0
4330 4170 640 0
4970 3530 0 640

1483.5 0 1000 0
1483.5 0 0 300
1483.5 300 1000 0
2453.5 0 0 270
1513.5 0 0 270
1513.5 270 940 0

2516.5 0 1000 0
2516.5 300 1000 0
3516.5 0 0 300
2546.5 0 0 270
2546.5 270 940 0
3486.5 0 0 270

#回路パネル

800 4545 910 0
800 4545 0 455
1710 4545 0 455
3290 4545 910 0
3290 4545 0 455
4200 4545 0 455

